3511Z;/ production d’électricité
3512Z;/ transport d’électricité
3513Z;/ distribution d’électricité
3514Z;/ commerce d’électricité
3521Z;/ production de combustibles gazeux
3522Z;/ distribution de combustibles gazeux par conduite
3523Z;/ commerce de combustibles gazeux par conduite
3600Z;/ captage, traitement et distribution d’eau
3700Z;/ collecte et traitement des eaux usées
3811Z;/ collecte des déchets non dangereux
3812Z;/ collecte des déchets dangereux
3821Z;/ traitement et élimination des déchets non dangereux
3822Z;/ traitement et élimination des déchets dangereux
3832Z;/ récupération de déchets triés
3900Z;/ dépollution et autres services de gestion des déchets
3211Z;/ frappe de monnaie
3212Z;/ fabrication d’article de joaillerie et bijouterie
3213Z;/ fabrication d‘articles de bijouterie fantaisie et articles similaires
3220Z;/ fabrication d’instruments de musique
3230Z;/ fabrication d’articles de sport
3240Z;/ fabrication de jeux et jouets
3250A;/ fabrication de matériel médico-chirurgical et dentaire
3250B;/ fabrication de lunettes
3291Z;/ fabrication d’articles de brosserie
3299Z;/ autres activités manufacturières n.c.a
3311Z;/ réparation d’ouvrages en métaux
3312Z;/ réparation de machines et équipements mécaniques
3313Z;/ réparation de matériels électroniques et optiques
3314Z;/ réparation d’équipements électroniques
3315Z;/ réparation navale
3316Z;/ réparation et maintenance d’aéronefs et d’engins spatiaux
3317Z;/ réparation et maintenance d’autres équipements de transport
3319Z;/ réparation d’autres équipements
3320A;/ installation de structures métalliques chaudronnées et de tuyauterie
3320B;/ installation de machines et équipements mécaniques
3320C;/ conception d’ensemble et assemblage sur site industriel et d’équipements de contrôle des processus industriels
3320D;/ installation d’équipements électriques, de matériel électroniques, et optiques ou d’autres matériels
2410Z;/ sidérurgie
2420Z;/ fabrication de tubes, tuyaux, profilés creux et accessoires correspondant en acier
2431Z;/ étirage à froid de barres
2432Z;/ laminage à froid de feuillards
2433Z;/ profilage à froid par formage ou pliage
2434Z;/ tréfilage à froid
2442Z;/ production de métaux précieux
2442Z;/ métallurgie de l’aluminium
2443Z;/ métallurgie du plomb, du zinc ou de l’étain
2444Z;/ métallurgie du cuivre
2445Z;/ métallurgie des autres métaux non ferreux
2446Z;/ élaboration et transformation de matières nucléaires
2451Z;/ fonderie de fonte
2452Z;/ fonderie d’acier
2453Z;/ fonderie de métaux légers
2454Z;/ fonderie d’autres métaux non ferreux
2511Z;/ fabrication de structures métalliques et de parties de structures
2512Z;/ fabrication de portes et fenêtres en métal
2521Z;/ fabrication de radiateurs et de chaudières pour le chauffage central
2529Z;/ fabrication d’autres réservoirs, citernes et conteneurs métalliques
2530Z;/ fabrication de générateurs de vapeur, à l’exception des chaudières pour le chauffage central
2540Z;/  fabrication d’armes et de munitions
2550A;/  forge, estampage, matriçage : métallurgie des poudres
2550B;/ découpage, emboutissage
2561Z;/ traitement et revêtement des métaux
2562A;/ décolletage
2562B;/ mécanique industrielle
2571Z;/ fabrication de coutellerie
2572Z;/  fabrication de serrures et de ferrures
2573A;/ fabrication de moules et de modèles
2573B;/ fabrication d’autres outillages
2591Z;/ fabrication de fûts et emballages métalliques similaires
2592Z;/ fabrication d’emballages métalliques légers
2593Z;/ fabrication d’articles en fils métalliques, de chaines et de ressorts
2594Z;/ fabrication de vis et de boulons
2599A;/ fabrication d’articles métalliques ménagers
2599B;/ fabrication d’autres articles métalliques
2110Z;/ fabrication de produits pharmaceutiques de base
2120Z;/ fabrication de préparations pharmaceutiques
2811Z;/ fabrication de moteurs et turbines, à l’exception des moteurs d’avion et de véhicules
2812Z;/ fabrication d’équipements hydrauliques et pneumatiques
